Game ID,Game Number,Date,Time,Season,Gametype,Map,Landing Site,Death Site,Landed Hot Zone,Legend Selected,Legend Selection Number,Second Legend Selected,Third Legend Selected,Partied Up?,Jumpmaster,Damage Done,Teammate 1 Dmg Done,Teammate 2 Dmg Done,My Rank,Teammate 1 Rank,Teammate 2 Rank,Higher Level Spotted?,Has Low Level TM (<500),TM 1 Ranked Badge,TM 2 Ranked Badge,TM1 Kills Badge,TM2 Kills Badge,Survival Time,Teammate 1 Survival Time,Teammate 2 Survival Time,Kills,Teammate 1 Kills,Teammate 2 Kills,Knockdowns,First Legend Death,Second Legend Death,Third Legend Death,Squad Placed,Revive Given,Teammate 1 Revive Given,Teammate 2 Revive Given,Respawn Given,Teammate 1 Respawn Given,Teammate 2 Respawn Given,Teammate 1 Console,Teammate 2 Console,Died Phase 1,Primary Weapon 1,Primary Weapon 2
GID-1,1,1/17/2021,11:43,7,Airdrop Assault,Kings Canyon,Water Treatment,Water Treatment,,Bangalore,1,Bloodhound,Wraith,,,453,41,120,,,,,,,,,,03:45,00:49,03:22,1,0,0,1,Bloodhound,Wraith,Bangalore,9,0,0,0,0,0,0,PS4,PS4,TRUE,Alternator,Hemlok
GID-2,2,1/17/2021,12:25,7,Airdrop Assault,Olympus,Hammond Labs,Hammond Labs,,Bangalore,3,Pathfinder,Octane,,,132,340,116,,,,,,,,,,01:13,01:33,01:33,0,1,0,0,Bangalore,Octane,Pathfinder,17,0,0,0,0,0,0,PS4,PS4,TRUE,Alternator,
GID-3,3,1/17/2021,12:33,7,Airdrop Assault,Olympus,Carrier,Carrier,,Bangalore,3,Wraith,Revenant,,,64,65,214,,,,,,,,,,01:05,01:05,01:05,0,0,0,0,Wraith,Bangalore,Revenant,18,0,0,0,0,0,0,PS4,Xbox,TRUE,Devotion,Triple Take
GID-4,4,1/17/2021,12:48,7,Airdrop Assault,Olympus,Energy Depot,Hammond Labs,,Lifeline,3,Wraith,Bangalore,,,190,174,0,,,,,,,,,,03:47,03:47,01:49,0,0,0,1,Bangalore,Lifeline,Wraith,10,0,0,0,0,0,0,PS4,PS4,FALSE,R-99,Mastiff
GID-5,5,1/17/2021,12:57,7,Airdrop Assault,Olympus,Estates,Estates,,Bangalore,2,Bloodhound,Loba,,,351,156,108,,,,,,,,,,01:56,01:56,01:56,1,0,0,1,Bangalore,Bloodhound,Loba,17,0,0,0,0,0,0,Xbox,PS4,TRUE,Alternator,Alternator
GID-6,6,1/17/2021,13:08,7,Airdrop Assault,Olympus,Hammond Labs,Hammond Labs,,Bangalore,3,Gibraltar,Wraith,,,752,241,438,,,,,,,,,,06:02,02:41,07:44,3,0,3,4,Gibraltar,Bangalore,Wraith,10,0,0,0,0,0,0,PS4,PS4,FALSE,R-99,G7-Scout
GID-7,7,1/17/2021,13:24,7,Airdrop Assault,Olympus,Orbital Cannon,Hammond Labs,,Bangalore,1,Wraith,Loba,,,199,188,209,,,,,,,,,,09:18,09:18,09:18,0,0,0,1,Wraith,Loba,Bangalore,8,0,0,0,0,0,0,PS4,PS4,FALSE,R-99,G7-Scout
GID-8,8,1/17/2021,13:36,7,Ranked,Worlds Edge,Sorting Factory,Harvester,,Bangalore,3,Bloodhound,Wraith,,,412,31,780,,Gold 4,Plat 1,,,,,,,08:28,10:51,17:28,1,0,1,1,Wraith,Bloodhound,Bangalore,7,1,0,0,0,1,0,PS4,PS4,FALSE,G7-Scout,R-99
GID-9,9,1/17/2021,14:00,7,Ranked,Worlds Edge,The Geyser,The Geyser,,Bangalore,3,Wraith,Bloodhound,,,157,230,153,,Plat 4,Plat 4,,,,,,,02:10,02:30,01:44,1,1,1,1,Bangalore,Bloodhound,Wraith,16,1,2,1,0,0,0,PS4,PS4,TRUE,Flatline,
GID-10,10,1/17/2021,14:06,7,Ranked,Worlds Edge,Thermal Station,Thermal Station,,Bangalore,2,Wraith,Lifeline,,,36,337,533,,Diamond 4,Diamond 4,,,,,,,00:44,02:26,04:31,0,3,0,0,Bangalore,Wraith,Lifeline,15,0,0,0,0,0,0,Xbox,Xbox,TRUE,Charge Rifle,
