Game_ID,Game_Number,Date_Played,Time_Played,Hour_Played,Session_Number,Session_ID,Game_Number_Session,Time_Played_Session,Previous14_Total_Games,Previous14_Time_Played,Previous14_Avg_Placement,Previous14_Top1s_Games,Previous14_Top3s_Games,Previous14_Top5s_Games,Previous14_DamageDealt,Previous14_600Dmg_Games,Previous14_900Dmg_Games,Previous14_1200Dmg_Games,Previous14_Kills,Previous14_1Kills_Games,Previous14_2Kills_Games,Previous14_3Kills_Games,Previous14_Knockdowns,Previous14_1Knockdowns_Games,Previous14_2Knockdowns_Games,Previous14_3Knockdowns_Games,Previous30_Total_Games,Previous30_Time_Played,Season,Gametype,Map,Landing_Site,Death_Site,Hot_Zone_Binary,Hot_Zone,Jumpmaster_Legend,Jumpmaster,Legend_Selected,Legend_Class,Legend_Season,Legend_New,Legend_OG,Legend_CoverGen,Legend_DamageDeal,Legend_Fortify,Legend_Revive,Legend_Scan,Legend_Movement,Legend_TeamMovement,Legend_Selected_Favourite,Legend_Selection_Number,Second_Legend_Selected,Second_Legend_Class,Second_Legend_Season,Second_Legend_New,Second_Legend_OG,Second_Legend_CoverGen,Second_Legend_DamageDeal,Second_Legend_Fortify,Second_Legend_Revive,Second_Legend_Scan,Second_Legend_Movement,Second_Legend_TeamMovement,Third_Legend_Selected,Third_Legend_Class,Third_Legend_Season,Third_Legend_New,Third_Legend_OG,Third_Legend_CoverGen,Third_Legend_DamageDeal,Third_Legend_Fortify,Third_Legend_Revive,Third_Legend_Scan,Third_Legend_Movement,Third_Legend_TeamMovement
GID-1,1,2021/01/17,11:43,11,1,SID-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Special GM,Kings Canyon,Water Treatment,Water Treatment,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,1,Bloodhound,Recon,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,Has Scan,No Movement,No Team Movement,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad No Revive,Squad Has Scan,Squad No Team Movement,,Pre-Collection,453,41,120,614,450 - 499,0 - 49,100 - 149,400 - 499,0 - 99,100 - 199,250 - 499,0 - 249,0 - 249,412,333,745,1,1st,2,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Non-Ranked,,Non-Ranked,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,03:45,13500,225,15+,15+,00:49,2940,49,15+,15+,03:22,12120,202,15+,15+,1,0,0,1,1 - 1,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,Bloodhound,Wraith,Bangalore,3rd,9,9th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,PS4,PS4,Alternator,Light,SMG,Hemlok,Heavy,Assault Rifle
GID-2,2,2021/01/17,12:25,12,1,SID-1,2,13500,,,,,,,,,,,,,,,,,,,,,7,Special GM,Olympus,Hammond Labs,Hammond Labs,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,3,Pathfinder,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,Has Movement,Has Team Movement,Octane,Skirmisher,1,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,Has Movement,Has Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad No Revive,Squad No Scan,Squad Has Team Movement,,Pre-Collection,132,340,116,588,100 - 149,300 - 349,100 - 149,100 - 199,300 - 399,100 - 199,0 - 249,250 - 499,0 - 249,-208,16,-192,2,2nd,1,,453,0,0,0,,,,,,,,,,,,,,,,,,Non-Ranked,,Non-Ranked,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,01:13,4380,73,15+,15+,01:33,5580,93,15+,15+,01:33,5580,93,15+,15+,0,1,0,1,0 - 0,1 - 1,0 - 0,1,1,0,0,,,,,,,,,0,0 - 0,1,1,0,0,,,,,,,,,Bangalore,Octane,Pathfinder,1st,17,17th,9,0,0,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,TRUE,PS4,PS4,Alternator,Light,SMG,,,
GID-3,3,2021/01/17,12:33,12,1,SID-1,3,17880,,,,,,,,,,,,,,,,,,,,,7,Special GM,Olympus,Carrier,Carrier,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,3,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Revenant,Skirmisher,4,Old Legend,OG-Legend,No Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,Has Movement,No Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad No Revive,Squad No Scan,Squad No Team Movement,,Pre-Collection,64,65,214,343,50 - 99,50 - 99,200 - 249,0 - 99,0 - 99,200 - 299,0 - 249,0 - 249,0 - 249,-1,-150,-151,3,3rd,0,,132,0,0,0,,,,,,,,,,,,,,,,,,Non-Ranked,,Non-Ranked,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,01:05,3900,65,15+,15+,01:05,3900,65,15+,15+,01:05,3900,65,15+,15+,0,0,0,0,0 - 0,0 - 0,0 - 0,0,1,0,0,,,,,,,,,0,0 - 0,0,1,0,0,,,,,,,,,Wraith,Bangalore,Revenant,2nd,18,18th,17,0,0,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,TRUE,PS4,Xbox,Devotion,Energy,LMG,Triple Take,Sniper,Sniper
GID-4,4,2021/01/17,12:48,12,1,SID-1,4,21780,,,,,,,,,,,,,,,,,,,,,7,Special GM,Olympus,Energy Depot,Hammond Labs,,Pre-Collection,,Pre-Collection,Lifeline,Support,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,Has Revive,No Scan,No Movement,No Team Movement,Non Favourite Legend,3,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad Has Revive,Squad No Scan,Squad No Team Movement,,Pre-Collection,190,174,0,364,150 - 199,150 - 199,0 - 49,100 - 199,100 - 199,0 - 99,0 - 249,0 - 249,0 - 249,16,190,206,1,1st,2,,64,0,0,0,453,0,0,0,,,,,,,,,,,,,,Non-Ranked,,Non-Ranked,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,03:47,13620,227,15+,15+,03:47,13620,227,15+,15+,01:49,6540,109,15+,15+,0,0,0,0,0 - 0,0 - 0,0 - 0,0,1,0,0,1,1,0,0,,,,,1,1 - 1,0,1,0,0,1,1,0,0,,,,,Bangalore,Lifeline,Wraith,2nd,10,10th,18,0,0,0,3,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,FALSE,PS4,PS4,R-99,Light,SMG,Mastiff,Shotgun,Shotgun
GID-5,5,2021/01/17,12:57,12,1,SID-1,5,35400,,,,,,,,,,,,,,,,,,,,,7,Special GM,Olympus,Estates,Estates,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,2,Bloodhound,Recon,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,Has Scan,No Movement,No Team Movement,Loba,Support,5,New Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,Has Movement,No Team Movement,New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad No Revive,Squad Has Scan,Squad No Team Movement,,Pre-Collection,351,156,108,615,350 - 399,150 - 199,100 - 149,300 - 399,100 - 199,100 - 199,250 - 499,0 - 249,0 - 249,195,243,438,1,1st,2,,190,0,0,0,585,0,0,0,,,,,,,,,,,,,,Non-Ranked,,Non-Ranked,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,01:56,6960,116,15+,15+,01:56,6960,116,15+,15+,01:56,6960,116,15+,15+,1,0,0,1,1 - 1,0 - 0,0 - 0,0,1,0,0,1,1,0,0,,,,,1,1 - 1,1,2,0,0,1,1,0,0,,,,,Bangalore,Bloodhound,Loba,1st,17,17th,10,0,0,0,8,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,TRUE,Xbox,PS4,Alternator,Light,SMG,Alternator,Light,SMG
GID-6,6,2021/01/17,13:08,13,1,SID-1,6,42360,,,,,,,,,,,,,,,,,,,,,7,Special GM,Olympus,Hammond Labs,Hammond Labs,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,3,Gibraltar,Support,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,Has Revive,No Scan,No Movement,No Team Movement,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad Has Revive,Squad No Scan,Squad No Team Movement,,Pre-Collection,752,241,438,1431,750 - 799,200 - 249,400 - 449,700 - 799,200 - 299,400 - 499,750 - 999,0 - 249,250 - 499,511,314,825,1,1st,2,,351,0,0,0,649,0,0,0,453,0,0,0,,,,,,,,,,Non-Ranked,,Non-Ranked,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,06:02,21720,362,15+,15+,02:41,9660,161,15+,15+,07:44,27840,464,15+,15+,3,0,3,6,3 - 3,0 - 0,3 - 3,1,2,0,0,1,1,0,0,1,1,0,0,4,4 - 4,1,3,0,0,1,1,0,0,1,1,0,0,Gibraltar,Bangalore,Wraith,2nd,10,10th,17,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,PS4,PS4,R-99,Light,SMG,G7-Scout,Light,Assault Rifle
GID-7,7,2021/01/17,13:24,13,1,SID-1,7,64080,,,,,,,,,,,,,,,,,,,,,7,Special GM,Olympus,Orbital Cannon,Hammond Labs,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,1,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Loba,Support,5,New Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,Has Movement,No Team Movement,New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad No Revive,Squad No Scan,Squad No Team Movement,,Pre-Collection,199,188,209,596,150 - 199,150 - 199,200 - 249,100 - 199,100 - 199,200 - 299,0 - 249,0 - 249,0 - 249,11,-10,1,2,2nd,1,,752,1,0,0,839,0,0,0,585,0,0,0,,,,,,,,,,Non-Ranked,,Non-Ranked,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,09:18,33480,558,15+,15+,09:18,33480,558,15+,15+,09:18,33480,558,15+,15+,0,0,0,0,0 - 0,0 - 0,0 - 0,3,3,1,1,1,1,0,0,1,1,0,0,1,1 - 1,4,4,1,1,2,2,0,0,1,1,0,0,Wraith,Loba,Bangalore,3rd,8,8th,10,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,PS4,PS4,R-99,Light,SMG,G7-Scout,Light,Assault Rifle
GID-8,8,2021/01/17,13:36,13,1,SID-1,8,97560,,,,,,,,,,,,,,,,,,,,,7,Ranked,Worlds Edge,Sorting Factory,Harvester,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,3,Bloodhound,Recon,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,Has Scan,No Movement,No Team Movement,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad No Revive,Squad Has Scan,Squad No Team Movement,,Pre-Collection,412,31,780,1223,400 - 449,0 - 49,750 - 799,400 - 499,0 - 99,700 - 799,250 - 499,0 - 249,750 - 999,381,-368,13,2,2nd,1,,199,1,0,0,1190,0,0,0,649,0,0,0,Unknown,Gold 4,Plat 1,,13,20,Unknown,Gold,Platinum,Unknown,,Unknown,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,08:28,30480,508,15+,15+,10:51,39060,651,15+,15+,17:28,62880,1048,15+,15+,1,0,1,2,1 - 1,0 - 0,1 - 1,0,3,1,1,2,2,0,0,1,1,0,0,1,1 - 1,1,5,1,1,3,3,0,0,1,1,0,0,Wraith,Bloodhound,Bangalore,3rd,7,7th,8,0,0,0,23,0,0,0,8,0,0,0,1,0,0,1,0,1,0,1,2,FALSE,PS4,PS4,G7-Scout,Light,Assault Rifle,R-99,Light,SMG
GID-9,9,2021/01/17,14:00,14,1,SID-1,9,128040,,,,,,,,,,,,,,,,,,,,,7,Ranked,Worlds Edge,The Geyser,The Geyser,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,3,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Bloodhound,Recon,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,Has Scan,No Movement,No Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad No Revive,Squad Has Scan,Squad No Team Movement,,Pre-Collection,157,230,153,540,150 - 199,200 - 249,150 - 199,100 - 199,200 - 299,100 - 199,0 - 249,0 - 249,0 - 249,-73,4,-69,2,2nd,1,,412,1,0,0,1942,1,0,0,839,0,0,0,Unknown,Plat 4,Plat 4,,17,17,Unknown,Platinum,Platinum,Unknown,,Unknown,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,02:10,7800,130,15+,15+,02:30,9000,150,15+,15+,01:44,6240,104,15+,15+,1,1,1,3,1 - 1,1 - 1,1 - 1,1,4,1,1,5,3,1,1,1,1,0,0,1,1 - 1,1,6,1,1,7,4,1,1,2,2,0,0,Bangalore,Bloodhound,Wraith,1st,16,16th,7,0,0,0,27,0,0,0,10,0,0,0,1,2,1,4,0,0,0,0,4,TRUE,PS4,PS4,Flatline,Heavy,Assault Rifle,,,
GID-10,10,2021/01/17,14:06,14,1,SID-1,10,135840,,,,,,,,,,,,,,,,,,,,,7,Ranked,Worlds Edge,Thermal Station,Thermal Station,,Pre-Collection,,Pre-Collection,Bangalore,Assault,0,Old Legend,OG-Legend,Has Cover-Gen,Has Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Favourite Legend,2,Wraith,Skirmisher,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,No Revive,No Scan,No Movement,No Team Movement,Lifeline,Support,0,Old Legend,OG-Legend,No Cover-Gen,No Damage Dealing,No Fortify,Has Revive,No Scan,No Movement,No Team Movement,No New Legend Squad,Squad OG-Legend,Squad Has Cover-Gen,Squad Has Damage,Squad No Fortify,Squad Has Revive,Squad No Scan,Squad No Team Movement,,Pre-Collection,36,337,533,906,0 - 49,300 - 349,500 - 549,0 - 99,300 - 399,500 - 599,0 - 249,250 - 499,500 - 749,-301,-497,-798,3,3rd,0,,157,1,0,0,2141,1,0,0,1190,0,0,0,Unknown,Diamond 4,Diamond 4,,21,21,Unknown,Diamond,Diamond,Unknown,,Unknown,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,Pre-Collection,,,00:44,2640,44,15+,15+,02:26,8760,146,15+,15+,04:31,16260,271,15+,15+,0,3,0,3,0 - 0,3 - 3,0 - 0,1,5,1,1,5,3,1,1,2,2,0,0,0,0 - 0,1,7,1,1,8,5,1,1,3,3,0,0,Bangalore,Wraith,Lifeline,1st,15,15th,16,0,0,0,29,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,Xbox,Xbox,Charge Rifle,Sniper,Sniper,,,
